,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ID,EAN,Cantidad,SKU,Nombre,Tipo Alimento,Tipo Animal,Segmento,kcal Em/kg,LINK WEB
43289910542553,8436540365361,500 gr,RET005000,RETORN PUPPY SALMON 500 GR - NEW,Seco,Perro,Cachorros,3451,https://retorn.com/products/pienso-natural-cachorros-salmon?variant=43289910542553
42813746315481,8436540364869,3 kg,RET00503,RETORN PUPPY SALMON 3 KG - NEW,Seco,Perro,Cachorros,3451,https://retorn.com/products/pienso-natural-cachorros-salmon?variant=42813746315481
12167525924930,8436540360533,6 kg,RET0051,RETORN PUPPY SALMON 6 KG,Seco,Perro,Cachorros,3451,https://retorn.com/products/pienso-natural-cachorros-salmon?variant=12167525924930
12167525924930,8436540360540,12 kg,RET0052,RETORN PUPPY SALMON 12 KG,Seco,Perro,Cachorros,3451,https://retorn.com/products/pienso-natural-cachorros-salmon?_pos=1&_sid=9414974ed&_ss=r&variant=12167525924930
43289889013977,8436540366009,500 gr,RET006500,RETORN LIGHT AND SENIOR 500 GR - NEW,Seco,Perro,Senior Light,3453,https://retorn.com/products/pienso-natural-perros-light?variant=43289889013977
12167962591298,8436540365071,3 kg,RET00603,RETORN ADULT LIGHT & SENIOR 3 KG - NEW,Seco,Perro,Senior Light,3453,https://retorn.com/products/pienso-natural-perros-light?variant=12167962591298
12167962656834,8436540360588,12 kg,RET0062,RETORN LIGHT AND SENIOR SALMON 12 KG,Seco,Perro,Senior Light,3453,https://retorn.com/products/pienso-natural-perros-light?variant=12167962656834
12167962689602,8436540360595,20 kg,RET0063,RETORN LIGHT AND SENIOR SALMON 20 KG,Seco,Perro,Senior Light,3453,https://retorn.com/products/pienso-natural-perros-light?variant=12167962689602
43289754370265,8436540365989,500 gr,RETAP500,RETORN ADULT POLLO 500 GR - NEW,Seco,Perro,Adulto Pollo,3674,https://retorn.com/products/pienso-natural-perros-pollo?variant=43289754370265
12167859863618,8436540364616,3 kg,RETAP03,RETORN ADULT POLLO 3 KG - NEW,Seco,Perro,Adulto Pollo,3674,https://retorn.com/products/pienso-natural-perros-pollo?variant=12167859863618
